Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584730744.47, ü707, 714, 402, 351, -15892, 136, 2520, -381, -342, -69
1584730744.54, 707, 714, 402, 351, -15840, 236, 2640, -367, -373, -82
1584730744.61, 707, 714, 402, 351, -15760, 316, 2544, -399, -390, -86
1584730744.64, 708, 714, 402, 351, -15796, 532, 2524, -355, -373, -78
1584730744.71, 707, 714, 402, 351, -15868, 636, 2440, -372, -370, -90
1584730744.77, 707, 714, 402, 351, -15820, 504, 2524, -403, -381, -104
1584730744.84, 707, 714, 402, 351, -15808, 220, 2572, -367, -343, -90
1584730744.88, 707, 714, 402, 351, -15876, 76, 2652, -353, -369, -91
1584730744.94, 707, 714, 402, 351, -15820, 32, 2536, -345, -346, -114
1584730745.01, 707, 714, 402, 351, -15804, 128, 2384, -350, -347, -90
1584730745.07, 707, 714, 402, 351, -15720, 132, 2512, -357, -362, -108
1584730745.14, 707, 714, 402, 351, -15792, 268, 2500, -356, -360, -76
1584730745.17, 707, 714, 402, 351, -15824, 264, 2544, -344, -379, -79
1584730745.24, 707, 714, 402, 351, -15836, 240, 2416, -351, -350, -90
1584730745.31, 707, 714, 402, 351, -15816, 144, 2524, -389, -364, -81
1584730745.34, 707, 714, 402, 351, -15812, 88, 2652, -368, -359, -81
1584730745.41, 707, 714, 402, 351, -15728, 184, 2604, -373, -386, -94
1584730745.47, 707, 714, 402, 351, -15816, 144, 2732, -381, -379, -76
1584730745.54, 707, 714, 402, 351, -15844, 208, 2580, -362, -338, -69
1584730745.57, 707, 714, 402, 351, -15864, 328, 2548, -356, -369, -62
1584730745.64, 707, 714, 402, 351, -15748, 264, 2596, -390, -347, -92
1584730745.71, 707, 714, 402, 351, -15784, 260, 2604, -350, -387, -85
1584730745.77, 707, 714, 402, 351, -15924, 228, 2488, -377, -401, -88
1584730745.81, 707, 714, 402, 351, -15840, 132, 2576, -367, -351, -53
1584730745.87, 707, 714, 402, 351, -15944, 244, 2620, -367, -342, -62
1584730745.94, 707, 714, 402, 351, -15836, 244, 2500, -373, -384, -83
