Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584736174.88, ó726, 691, 437, 392, -17252, 1208, 908, -888, -194, -3213
1584736174.95, 725, 691, 437, 392, -2264, 1712, 5384, -986, 563, 4423
1584736175.02, 725, 691, 438, 392, -32768, -3732, 4720, -367, -527, -3874
1584736175.08, 725, 691, 438, 392, -22952, 2100, -1980, -104, -71, 820
1584736175.15, 725, 691, 438, 392, -6108, -1228, 1520, 279, -934, -1267
1584736175.18, 728, 691, 438, 392, -17052, -3536, 2900, 742, -1543, -681
1584736175.25, 731, 691, 443, 392, -19032, 2052, 4712, 1107, -1594, 3082
1584736175.32, 730, 691, 447, 391, -9312, -2124, 5180, 817, -1555, -2238
1584736175.38, 725, 691, 455, 391, -15236, -6372, -3312, -218, -822, -2011
1584736175.45, 724, 691, 460, 391, -16088, 520, 5800, -236, -600, -2355
1584736175.52, 724, 693, 461, 391, -13632, -728, 5224, 649, -326, -797
1584736175.55, 724, 697, 461, 391, -13364, -4596, 5660, 866, -85, -227
1584736175.62, 724, 697, 461, 391, -20656, 648, 4980, 722, -198, 531
1584736175.68, 724, 696, 461, 391, -9932, -2788, 4388, 715, -178, -2730
1584736175.75, 724, 696, 461, 391, -18900, -1652, 3140, 715, -178, -2730
1584736175.78, 725, 696, 461, 391, -15192, 2844, 1952, 356, 854, 1881
1584736175.85, 725, 696, 460, 391, -13444, -1320, 380, 652, -356, 1213
1584736175.92, 724, 696, 460, 392, -17020, -1904, 5740, 1014, -762, -391
1584736175.98, 724, 696, 460, 397, -5976, -2196, 4952, 745, -156, 2663
1584736176.05, 724, 696, 461, 399, -17572, -1320, -840, 368, -378, 2286
1584736176.08, 724, 696, 460, 401, -20616, 504, 2796, 639, -422, -1374
1584736176.15, 724, 696, 460, 402, -7920, -2640, 1152, 397, -274, 1536
1584736176.22, 724, 698, 461, 402, -2056, -6448, 1660, 406, -102, -700
1584736176.28, 725, 698, 462, 401, -14696, -588, 4480, 813, 718, 1211
1584736176.32, 726, 698, 462, 401, -6216, -6668, 6528, 923, -19, -71
