Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584716479.82, ì712, 3, 391, 349, 0, 0, 0, 0, 0, 0
1584716479.85, 712, 3, 391, 349, 0, 0, 0, 0, 0, 0
1584716479.92, 712, 3, 391, 349, -15812, -296, 1768, -1891, 1239, 1936
1584716479.95, 712, 3, 391, 349, -15816, -360, 1748, -367, -309, -101
1584716480.02, 711, 3, 391, 349, -15792, -276, 1648, -352, -319, -83
1584716480.08, 712, 3, 391, 349, -15800, -236, 1696, -345, -352, -119
1584716480.12, 712, 3, 391, 349, -15764, -276, 1744, -353, -330, -73
1584716480.19, 712, 3, 391, 349, -15756, -264, 1640, -379, -326, -94
1584716480.25, 712, 3, 391, 349, -15788, -344, 1568, -354, -351, -87
1584716480.32, 712, 3, 391, 349, -15724, -272, 1748, -315, -342, -109
1584716480.35, 712, 3, 391, 349, -15764, -372, 1816, -364, -331, -96
1584716480.42, 712, 3, 391, 349, -15828, -308, 1640, -339, -335, -77
1584716480.48, 712, 3, 391, 349, -15756, -376, 1736, -357, -335, -95
1584716480.55, 712, 3, 391, 349, -15804, -208, 1692, -377, -337, -106
1584716480.58, 712, 3, 391, 349, -15744, -304, 1756, -341, -339, -104
1584716480.65, 712, 3, 391, 349, -15760, -252, 1708, -337, -317, -112
1584716480.72, 712, 3, 391, 349, -15828, -356, 1740, -360, -311, -95
1584716480.75, 712, 3, 391, 349, -15804, -344, 1808, -354, -336, -80
1584716480.82, 712, 3, 391, 349, -15820, -352, 1780, -340, -333, -65
1584716480.88, 712, 3, 391, 349, -15788, -348, 1744, -354, -316, -105
1584716480.95, 712, 3, 391, 349, -15776, -428, 1768, -373, -327, -97
1584716480.99, 712, 3, 391, 349, -15764, -384, 1620, -353, -329, -93
1584716481.05, 712, 3, 391, 349, -15828, -304, 1796, -357, -326, -99
1584716481.12, 712, 3, 391, 349, -15848, -256, 1716, -357, -327, -84
1584716481.18, 712, 3, 391, 349, -15844, -308, 1780, -359, -343, -92
1584716481.22, 711, 3, 391, 349, -15692, -436, 1688, -349, -325, -99
1584716481.28, 712, 3, 391, 349, -15812, -364, 1728, -359, -332, -93
1584716481.35, 712, 3, 391, 349, -15756, -416, 1772, -350, -330, -123
1584716481.39, 712, 3, 391, 349, -15772, -316, 1732, -338, -340, -92
1584716481.45, 712, 3, 391, 349, -15744, -340, 1636, -337, -324, -90
1584716481.52, 712, 3, 391, 349, -15772, -352, 1744, -337, -317, -103
1584716481.58, 712, 3, 391, 349, -15820, -356, 1748, -343, -353, -63
1584716481.62, 712, 3, 391, 349, -15804, -256, 1836, -345, -349, -102
1584716481.68, 712, 3, 391, 349, -15780, -308, 1624, -344, -322, -81
1584716481.75, 712, 3, 391, 349, -15740, -368, 1756, -352, -309, -90
1584716481.82, 712, 3, 391, 349, -15764, -352, 1732, -345, -333, -76
1584716481.85, 712, 3, 391, 349, -15828, -300, 1780, -364, -331, -99
1584716481.92, 712, 3, 391, 349, -15824, -276, 1632, -346, -328, -108
1584716481.98, 712, 3, 391, 349, -15748, -352, 1772, -357, -340, -78
1584716482.02, 712, 3, 391, 349, -15740, -356, 1760, -335, -364, -93
1584716482.08, 712, 3, 391, 349, -15868, -356, 1652, -346, -320, -102
1584716482.15, 712, 3, 391, 349, -15792, -336, 1828, -365, -321, -94
1584716482.22, 712, 3, 391, 349, -15812, -344, 1676, -337, -353, -99
1584716482.25, 712, 3, 391, 349, -15816, -324, 1652, -316, -292, -79
1584716482.32, 712, 3, 391, 349, -15812, -392, 1748, -354, -336, -91
