Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584738556.63, -364, -70
1584738558.29, 734, 695, 503, 435, -ü734, 695, 502, 435, -9420, -2412, 8044, -377, -377, -967
1584738558.36, 734, 695, 502, 435, -6240, -1044, -1828, -263, -470, -1316
1584738558.43, 733, 695, 502, 435, -15988, -760, 9364, -424, -608, -2009
1584738558.49, 734, 695, 502, 435, -20496, -1472, 3036, -395, -255, 471
1584738558.56, 733, 695, 502, 435, -10588, 1156, 4192, -306, -486, -631
1584738558.59, 733, 695, 502, 435, -18884, -4240, 1384, -396, -451, -780
1584738558.66, 734, 695, 502, 435, -15976, 1336, 3124, -350, -382, 37
1584738558.72, 733, 695, 502, 435, -15252, 1160, 5732, -374, -442, -534
1584738558.79, 733, 695, 502, 435, -13884, -3952, 3576, -368, -272, 737
1584738558.86, 733, 695, 502, 435, -16812, 484, 3064, -331, -236, -62
1584738558.89, 733, 695, 502, 435, -10592, 1172, 2296, -298, -323, 557
1584738558.96, 733, 695, 502, 435, -17968, -3416, 2172, -268, -347, 84
1584738559.02, 733, 695, 502, 435, -28608, 1804, -1860, -483, -437, 615
1584738559.09, 733, 695, 502, 435, -4192, 340, 4796, -193, -186, 741
1584738559.13, 733, 695, 502, 435, 12044, 292, -14820, -502, -782, 872
1584738559.19, 729, 692, 497, 433, -14708, 16732, 21972, -134, 437, 6474
1584738559.26, 717, 682, 487, 422, -32768, 7724, 4772, -237, -63, 2571
1584738559.32, 709, 675, 476, 410, -24065, -1, -1, -1, -1, -1
1584738559.36, 708, 673, 468, 401, -20916, 3096, -2228, -427, -329, 1678
1584738559.43, 708, 673, 460, 396, -11072, 1544, 2576, -390, -288, -1779
1584738559.49, 710, 673, 459, 395, -12808, 2912, 2312, -549, -474, -1425
1584738559.56, 713, 673, 459, 396, -18724, 6100, 7316, -518, -414, -656
1584738559.62, 716, 674, 460, 396, -4744, 7044, -3180, -278, -295, 1342
1584738559.69, 716, 674, 459, 397, -11352, -380, 4692, -543, -698, -68
1584738559.73, 716, 674, 458, 398, -18904, -7920, -184, -850, -641, -166
1584738559.79, 716, 678, 458, 401, -28980, 3228, 36, -633, -420, -961
1584738559.86, 716, 682, 459, 402, -18900, -1192, 8744, -630, -80, -1165
1584738559.92, 716, 684, 459, 402, -14340, 772, 3328, -924, -449, -870
1584738559.99, 717, 687, 459, 402, -20060, 3116, 4804, -736, -202, 1423
1584738560.03, 718, 687, 458, 401, -7704, 1352, 4592, -530, 198, -760
1584738560.09, 718, 686, 458, 401, -18928, 2540, -756, -856, -143, -1318
1584738560.16, 718, 685, 459, 402, -19200, 1204, 4624, -998, 72, 1003
1584738560.22, 718, 685, 460, 403, -24744, 1636, -2552, -538, 156, -632
1584738560.29, 719, 685, 460, 402, -19064, -548, 3208, -489, 166, -788
1584738560.33, 721, 685, 460, 402, -23420, 6804, 3016, -630, 261, 1628
1584738560.39, 725, 684, 460, 402, -10888, -5624, 408, -652, 23, -649
1584738560.46, 725, 685, 460, 403, -21516, -1528, 1292, -548, -605, -834
1584738560.52, 725, 685, 459, 406, -4388, 484, -224, -354, -697, 690
1584738560.56, 724, 685, 459, 406, -12608, -2376, -800, -612, -244, 1273
1584738560.63, 724, 685, 459, 406, -13828, 232, 3612, -748, -931, -187
1584738560.69, 724, 685, 459, 406, -21680, 2480, 6804, -416, -564, -907
1584738560.76, 724, 684, 460, 405, -28636, 1072, 2564, 5, -1080, -3861
1584738560.82, 724, 683, 460, 403, -15588, 60, -424, -264, -1139, -1239
1584738560.86, 724, 683, 460, 401, -22516, 4152, 2016, -740, -66, -1412
1584738560.92, 724, 683, 461, 401, -19852, 4172, 4120, -735, -34, -47
1584738560.99, 724, 683, 461, 401, -5564, 1256, -904, -600, -247, -586
1584738561.06, 725, 684, 461, 402, -19980, -5404, 604, -758, -225, -99
1584738561.12, 727, 686, 461, 403, -17316, -696, 5960, -801, -282, 252
1584738561.16, 728, 687, 461, 403, -14528, 924, 4248, -361, 589, -289
1584738561.22, 727, 687, 461, 405, -19768, -4968, 1780, -325, -248, -273
1584738561.29, 727, 688, 461, 407, -19484, -744, -268, -677, 283, 368
1584738561.36, 727, 689, 461, 408, -18196, 1620, 4308, -755, 154, 1731
1584738561.42, 727, 688, 460, 408, -10560, 11220, -6904, -356, -338, 4128
1584738561.46, 725, 687, 458, 405, -10404, 612, 200, -42, -436, 749
1584738561.52, 724, 683, 458, 404, -21120, 3856, 5580, -55, -630, 908
1584738561.59, 724, 683, 458, 405, -11208, 6528, 752, -352, -1328, -1044
1584738561.66, 724, 684, 459, 405, -11000, -544, -1328, -465, -345, -606
1584738561.72, 724, 684, 459, 405, -19908, -5444, -104, -596, -1161, -935
1584738561.76, 724, 689, 459, 406, -12264, -56, 4640, -337, -641, -1019
1584738561.82, 724, 691, 459, 407, 15940, -484, 7216, -321, -413, 3119
1584738561.89, 724, 691, 460, 407, -9316, 8964, 11868, 27, 285, -3298
1584738561.96, 724, 690, 460, 407, -26864, 13992, 10160, -500, -359, 748
1584738562.02, 724, 690, 459, 407, -20916, -1280, 1384, -183, -1236, 916
1584738562.06, 720, 690, 459, 407, -20536, 3184, 4752, -343, -640, -830
1584738562.12, 720, 690, 458, 408, -22792, -2588, 2024, -724, -398, -227
1584738562.19, 720, 691, 459, 408, -19704, 632, 1308, -719, -524, 587
1584738562.26, 720, 696, 458, 408, -15648, -1116, -9864, -527, -1203, -4895
1584738562.32, 720, 696, 458, 408, -25440, 2400, -1372, -160, -503, -4461
1584738562.39, 720, 697, 458, 408, -17988, 5512, -120, -562, -222, 2815
1584738562.42, 719, 697, 457, 408, -24176, -3136, -744, -480, -354, 1372
1584738562.49, 718, 696, 458, 408, -25228, 2796, -1860, -336, 1, -201
1584738562.56, 718, 696, 458, 411, -25628, 4024, 1704, -390, -482, -78
1584738562.62, 720, 696, 458, 412, -13456, -1172, 4052, -491, -229, 1442
1584738562.69, 723, 696, 458, 412, -14792, 828, 6104, -558, -867, -92
1584738562.72, 722, 696, 458, 411, -32768, -3588, 6376, -834, -226, -1938
1584738562.79, 722, 696, 458, 411, 32767, -1924, -6220, -624, -324, 584
1584738562.86, 722, 696, 458, 411, -8628, 6092, -2532, -215, -336, 2926
1584738562.92, 719, 690, 455, 410, -14636, 1360, -636, -196, -1156, -1325
1584738562.99, 719, 689, 456, 410, -22472, 3008, 360, -513, -370, -2237
1584738563.06, 719, 689, 459, 410, -18736, 1648, 6800, -493, -668, -1028
1584738563.09, 722, 690, 460, 411, -18448, 2568, -7868, -724, -1141, 2689
1584738563.16, 723, 690, 460, 410, -32768, 1704, 700, -611, -139, -2065
1584738563.22, 723, 690, 458, 408, -8556, 248, -1696, -383, -476, -1125
1584738563.29, 723, 690, 456, 406, -8644, 3808, -284, -224, -736, -2213
1584738563.36, 723, 690, 456, 407, -10408, 68, -2036, -399, -527, -2153
1584738563.42, 723, 690, 456, 408, -11020, 348, 3304, -257, -1287, -2226
1584738563.46, 723, 690, 456, 411, -10324, 3884, 3248, -98, -1054, -1904
1584738563.52, 723, 691, 461, 413, -6768, 1356, 1980, -186, -304, -1405
1584738563.59, 724, 692, 465, 413, -3488, -3444, -1688, -176, -427, 207
1584738563.66, 725, 692, 465, 412, -22208, -7148, 5304, -179, 157, -29
1584738563.72, 728, 692, 465, 412, -12276, -1344, 3216, -116, -11, -250
1584738563.76, 733, 692, 465, 412, -17908, 2344, 6768, 179, 21, 735
1584738563.82, 734, 692, 465, 412, -16152, 1812, 5368, -58, 24, -1247
1584738563.89, 734, 692, 466, 412, -17284, -2628, 1472, -7, -249, -156
1584738563.95, 733, 692, 466, 412, -15436, 368, 2888, 68, -280, -886
1584738563.99, 734, 691, 466, 412, -16224, 1324, 3220, 43, -311, 471
1584738564.06, 734, 691, 466, 412, -14800, -5280, 2828, -57, -210, -1055
1584738564.12, 733, 691, 466, 412, -20380, -1788, 196, -38, -698, -158
1584738564.19, 733, 691, 466, 412, -21588, 3488, 3316, -192, 158, 3001
1584738564.22, 731, 691, 466, 411, -7480, -48, 1980, -139, -292, 524
1584738564.29, 731, 691, 466, 409, -15540, -7836, 7428, 116, -561, 173
1584738564.36, 733, 690, 466, 409, -16248, -1136, -2164, 299, -1021, 851
1584738564.42, 732, 686, 466, 409, -18828, -6652, 3548, 365, -506, 587
1584738564.49, 729, 685, 466, 409, -9928, -3728, 5820, -195, -735, -937
1584738564.52, 727, 685, 467, 409, -17076, 3400, 4568, -378, -280, -1058
1584738564.59, 727, 685, 467, 409, -21908, 1220, 5384, -49, -383, -468
1584738564.66, 729, 686, 468, 409, -9112, -612, -2024, 232, -201, -589
1584738564.72, 730, 687, 469, 409, -17836, -6304, 3592, -14, -240, 68
1584738564.79, 731, 687, 470, 409, -15488, -1412, 5664, -129, 70, 497
1584738564.82, 729, 687, 470, 409, -9020, -1412, 3408, 105, 104, -609
1584738564.89, 731, 687, 470, 409, -17080, -3456, 2492, -67, 21, -1345
1584738564.96, 733, 687, 470, 409, -16552, 3580, 6748, 66, -136, 477
1584738565.02, 734, 687, 470, 409, -16936, -5400, -900, 225, -348, -986
1584738565.06, 734, 687, 470, 409, -20020, -480, 2132, -183, -555, -154
1584738565.12, 733, 687, 470, 409, -17276, -36, 4024, -3, -523, 598
1584738565.19, 732, 687, 470, 410, -23700, -2720, 1940, 150, -805, -1657
1584738565.26, 731, 689, 470, 411, -14796, 1936, 1728, -169, -511, 12
1584738565.29, 730, 691, 469, 411, -9996, 1120, 5984, -105, -222, 109
1584738565.36, 730, 692, 470, 411, -20528, -4652, -200, -107, 92, 126
1584738565.42, 730, 691, 471, 410, -15164, -404, 5612, 124, -14, 2263
1584738565.49, 731, 690, 471, 408, -17460, -3744, 2720, 357, 261, -39
1584738565.52, 731, 690, 471, 408, -19784, -292, 2712, 445, -485, -614
1584738565.59, 732, 690, 471, 408, -23460, 4064, 3624, 174, 332, 1568
1584738565.65, 731, 690, 471, 408, -13748, -6452, 1992, -89, -79, -494
1584738565.72, 731, 690, 471, 408, -19644, 692, 2840, 57, 61, -854
1584738565.76, 731, 690, 470, 408, -10420, -796, 4800, 106, 185, -1856
1584738565.82, 731, 691, 469, 409, -16440, -2484, -128, 40, -317, -1048
1584738565.89, 731, 690, 467, 408, -18196, 1684, 256, 180, -228, -514
1584738565.95, 731, 690, 466, 408, -9692, 3164, -352, 179, -226, -4
1584738566.02, 731, 690, 466, 409, -23692, -4852, -2132, -73, -129, -741
1584738566.06, 731, 690, 468, 409, -22480, 1456, 4552, 27, -301, 1063
1584738566.12, 731, 690, 468, 411, -17168, -2292, -2536, 228, -298, -1076
1584738566.16, 733, 690, 468, 411, 0, 0, 0, 0, 0, 0
1584738566.22, 734, 690, 468, 411, -7868, -6876, 692, 259, -715, 721
1584738566.29, 734, 690, 468, 411, -22240, -3096, 1776, 425, -1015, 2014
1584738566.35, 734, 690, 468, 411, -14104, -1104, 8360, 146, -692, -331
1584738566.42, 733, 690, 468, 411, -19772, -4952, 3836, -414, -445, -682
1584738566.46, 733, 690, 472, 412, -26640, -3836, 1156, -595, -121, -1608
1584738566.52, 733, 691, 473, 412, -5164, 472, 3268, -592, 31, 761
1584738566.59, 733, 691, 473, 413, -17676, -2016, 2544, -286, -228, -523
1584738566.65, 733, 692, 474, 415, -16108, -4476, 5428, 270, 235, 104
1584738566.72, 734, 695, 474, 417, -20384, -9008, 4472, 178, -268, -276
1584738566.76, 738, 699, 474, 424, -22560, -1072, 1868, -488, 58, -1093
1584738566.82, 742, 702, 476, 430, -11568, -5040, 2808, -435, -91, -706
1584738566.89, 743, 702, 477, 434, -15356, -7540, 500, -202, -230, -95
1584738566.95, 743, 702, 477, 435, -3764, -4012, 4252, 125, -360, 623
1584738567.02, 743, 702, 477, 436, -16880, -548, -4436, -307, -498, 1364
1584738567.06, 743, 701, 477, 436, -17736, -5272, 4128, -342, -577, -743
1584738567.12, 743, 702, 477, 437, -15388, -640, 2284, -444, -293, 69
1584738567.19, 742, 701, 476, 437, -12540, -284, 6224, -703, -412, -129
1584738567.25, 741, 701, 476, 437, -18100, -2388, 4300, -345, -403, -607
1584738567.32, 740, 701, 476, 437, -9196, 1104, 5964, -306, -380, 2322
