Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584634297.86, 8 6,47 4,-54 80, -8 35 643,68 6, 7,46 15,152 32 3 843,68 6,48 40,-40 84,-8,-5,-1
1584634297.89, 3,68 6,48 4,-28, 18664, -376, -384, -80
1584634297.96, 439, 688, 662, 478, 576, -1260, 18500, -382, -379, -86
1584634298.03, 439, 688, 662, 478, 504, -1368, 18632, -385, -352, -107
1584634298.09, 440, 691, 662, 478, 552, -1356, 18636, -379, -367, -79
1584634298.13, 439, 688, 662, 478, 668, -1480, 18572, -366, -364, -79
1584634298.19, 439, 688, 662, 478, 532, -1448, 18612, -382, -348, -74
1584634298.26, 439, 688, 662, 478, 468, -1344, 19016, -400, -349, -40
1584634298.33, 439, 688, 662, 478, 484, -1428, 18556, -381, -356, -103
1584634298.36, 439, 688, 662, 478, 700, -1552, 18656, -382, -336, -86
1584634298.43, 439, 688, 662, 478, 644, -1488, 18804, -404, -369, -85
1584634298.49, 439, 688, 662, 478, 448, -1340, 18540, -401, -342, -65
1584634298.56, 439, 689, 662, 478, 392, -1232, 18796, -380, -383, -97
1584634298.59, 439, 689, 662, 478, 596, -1436, 18608, -354, -372, -83
1584634298.66, 439, 688, 662, 478, 744, -1412, 18680, -391, -386, -101
1584634298.73, 439, 688, 662, 478, 704, -1588, 18732, -376, -361, -67
1584634298.79, 439, 688, 662, 478, 504, -1408, 18516, -379, -373, -89
1584634298.83, 439, 688, 662, 478, 568, -1304, 18492, -365, -342, -80
1584634298.89, 439, 688, 662, 478, 624, -1400, 18716, -363, -395, -74
1584634298.96, 439, 688, 662, 478, 408, -1352, 18700, -387, -366, -103
1584634299.03, 439, 688, 662, 477, 520, -1356, 18672, -387, -358, -95
1584634299.06, 439, 688, 662, 478, 560, -1444, 18508, -380, -366, -71
1584634299.13, 439, 688, 662, 478, 584, -1436, 18756, -375, -346, -90
1584634299.19, 439, 688, 662, 478, 592, -1500, 18504, -377, -343, -89
