Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584593392.78, þ4, 392, 480, 1017, -12364, 8916, -2860, -349, -343, -58
1584593392.84, 4, 392, 480, 1016, -12296, 8892, -2716, -373, -353, -84
1584593392.91, 4, 392, 480, 1016, -12364, 8916, -2780, -331, -344, -71
1584593392.97, 4, 392, 480, 1016, -12356, 8832, -2888, -367, -326, -62
1584593393.01, 3, 392, 480, 1016, -12432, 8848, -2848, -361, -328, -69
1584593393.08, 4, 392, 480, 1017, -12332, 8856, -2868, -369, -351, -59
1584593393.14, 4, 392, 480, 1015, -12384, 8952, -2808, -355, -335, -57
1584593393.21, 4, 392, 480, 1016, -12388, 9036, -2852, -361, -341, -42
1584593393.27, 4, 392, 480, 1016, -12368, 8960, -2896, -356, -326, -64
1584593393.31, 4, 392, 480, 1017, -12372, 8904, -2792, -380, -316, -38
1584593393.37, 3, 392, 480, 1016, -12300, 8856, -2804, -347, -306, -55
1584593393.44, 4, 392, 480, 1016, -12300, 8808, -2896, -362, -344, -53
1584593393.51, 4, 392, 480, 1016, -12356, 8852, -2732, -358, -319, -58
1584593393.54, 5, 392, 480, 1016, -12352, 8944, -2960, -360, -345, -50
1584593393.61, 4, 392, 480, 1016, -12344, 8900, -2704, -368, -346, -46
1584593393.67, 4, 392, 480, 1016, -12352, 8868, -2800, -355, -352, -67
1584593393.74, 4, 392, 480, 1017, -12300, 8836, -2904, -349, -330, -46
1584593393.81, 3, 392, 480, 1017, -12284, 8900, -2920, -359, -344, -75
1584593393.84, 4, 392, 480, 1016, -12360, 8968, -2708, -347, -325, -56
1584593393.91, 4, 392, 480, 1016, -12268, 8832, -2876, -377, -315, -34
1584593393.97, 4, 392, 480, 1016, -12352, 8864, -2924, -360, -339, -48
1584593394.04, 3, 392, 480, 1016, -12296, 8852, -2896, -383, -344, -55
1584593394.08, 3, 392, 480, 1017, -12364, 8948, -2800, -362, -339, -45
1584593394.14, 3, 392, 480, 1016, -12224, 8852, -2832, -356, -340, -73
1584593394.21, 4, 392, 480, 1016, -12304, 8916, -2980, -386, -318, -37
1584593394.27, 4, 392, 480, 1016, -12280, 8916, -2728, -351, -329, -48
1584593394.34, 4, 392, 480, 1016, -12380, 8848, -2756, -367, -326, -49
1584593394.38, 3, 392, 480, 1016, -12316, 8756, -2872, -359, -328, -68
1584593394.44, 3, 392, 479, 1016, -12392, 8744, -2724, -370, -345, -65
1584593394.51, 4, 392, 480, 1018, -12252, 8784, -2848, -368, -334, -35
1584593394.57, 4, 392, 480, 1017, -12348, 8884, -2816, -349, -332, -60
1584593394.61, 4, 392, 480, 1016, -12312, 8828, -2876, -377, -341, -45
1584593394.68, 4, 392, 480, 1015, -12264, 8796, -2880, -354, -328, -49
1584593394.74, 3, 392, 480, 1017, -12328, 8928, -2928, -362, -320, -62
1584593394.81, 4, 392, 480, 1016, -12284, 8852, -2972, -360, -344, -54
1584593394.87, 3, 392, 480, 1017, -12372, 8848, -2756, -370, -348, -58
1584593394.91, 4, 392, 480, 1016, -12336, 8904, -2788, -358, -337, -53
