Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584730649.08, ¬708, 714, 404, 352, -15820, 252, 2572, -380, -367, -102
1584730649.15, 707, 714, 403, 352, -15864, 144, 2484, -358, -374, -94
1584730649.22, 707, 714, 403, 352, -15728, 184, 2568, -367, -379, -89
1584730649.28, 707, 714, 403, 352, -15856, 232, 2608, -379, -377, -82
1584730649.32, 707, 714, 404, 352, -15780, 372, 2608, -340, -365, -53
1584730649.38, 707, 714, 403, 352, -15752, 328, 2568, -415, -364, -74
1584730649.45, 707, 714, 404, 352, -15864, 228, 2600, -368, -405, -81
1584730649.51, 707, 714, 403, 352, -15804, 288, 2432, -369, -374, -92
1584730649.55, 707, 714, 403, 352, -15864, 368, 2516, -370, -357, -85
1584730649.62, 707, 714, 403, 352, -15888, 208, 2628, -343, -371, -90
1584730649.68, 707, 714, 403, 352, -15844, 316, 2548, -384, -366, -89
1584730649.75, 707, 714, 403, 352, -15732, 228, 2528, -378, -366, -79
1584730649.78, 707, 714, 404, 352, -15856, 400, 2640, -364, -375, -67
1584730649.85, 707, 714, 403, 352, -15756, 340, 2556, -355, -374, -103
1584730649.92, 707, 714, 404, 352, -15752, 204, 2720, -390, -372, -57
1584730649.98, 707, 714, 404, 352, -15808, 296, 2476, -347, -352, -93
1584730650.02, 708, 714, 404, 352, -15868, 240, 2600, -362, -377, -85
1584730650.08, 707, 714, 404, 352, -15820, 344, 2668, -356, -366, -78
1584730650.15, 707, 714, 404, 352, -15804, 388, 2500, -380, -360, -92
1584730650.22, 707, 714, 404, 352, -15812, 200, 2632, -363, -357, -68
1584730650.25, 707, 714, 404, 352, -15772, 256, 2496, -364, -370, -77
1584730650.32, 707, 714, 404, 352, -15756, 268, 2672, -359, -348, -93
1584730650.38, 707, 714, 403, 352, -15908, 264, 2540, -373, -357, -108
1584730650.45, 707, 714, 404, 352, -15828, 184, 2568, -373, -370, -112
1584730650.48, 707, 714, 404, 352, -15828, 248, 2568, -378, -358, -85
1584730650.55, 707, 714, 404, 352, -15728, 304, 2528, -375, -372, -79
1584730650.61, 707, 714, 403, 352, -15808, 244, 2700, -356, -345, -102
1584730650.68, 707, 714, 404, 352, -15756, 236, 2564, -361, -374, -93
1584730650.72, 707, 714, 403, 352, -15932, 244, 2584, -390, -388, -97
1584730650.78, 707, 714, 404, 352, -15840, 360, 2680, -372, -374, -86
1584730650.85, 707, 714, 404, 352, -15728, 332, 2476, -363, -358, -88
1584730650.91, 707, 714, 404, 352, -15776, 276, 2484, -353, -370, -90
1584730650.95, 707, 714, 404, 352, -15760, 204, 2616, -345, -388, -97
1584730651.02, 707, 714, 404, 352, -15844, 304, 2460, -376, -357, -88
1584730651.08, 707, 714, 404, 352, -15836, 336, 2676, -374, -385, -86
1584730651.15, 707, 714, 403, 352, -15752, 240, 2608, -339, -366, -65
1584730651.18, 707, 714, 403, 352, -15780, 284, 2528, -352, -348, -85
1584730651.25, 707, 714, 404, 352, -15780, 272, 2564, -358, -366, -90
1584730651.31, 707, 714, 404, 352, -15792, 300, 2444, -359, -386, -75
1584730651.38, 707, 714, 404, 352, -15736, 256, 2728, -385, -353, -108
1584730651.42, 707, 714, 404, 352, -15928, 300, 2576, -380, -355, -96
1584730651.48, 707, 714, 404, 352, -15876, 344, 2636, -373, -370, -98
1584730651.55, 707, 714, 404, 352, -15812, 256, 2676, -355, -395, -75
1584730651.61, 707, 714, 403, 352, -15804, 332, 2552, -388, -375, -89
1584730651.65, 707, 714, 404, 352, -15800, 272, 2668, -370, -354, -87
1584730651.72, 707, 714, 403, 352, -15852, 356, 2620, -388, -389, -100
1584730651.78, 707, 714, 404, 352, -15836, 268, 2604, -359, -347, -91
1584730651.85, 707, 714, 403, 351, -15900, 336, 2580, -352, -358, -78
1584730651.88, 707, 714, 403, 352, -15848, 296, 2600, -380, -389, -101
1584730651.95, 707, 714, 403, 352, -15932, 300, 2480, -372, -339, -84
1584730652.02, 707, 714, 404, 352, -15740, 292, 2428, -372, -363, -78
1584730652.08, 707, 714, 404, 352, -15804, 256, 2716, -357, -352, -99
1584730652.12, 707, 714, 403, 352, -15852, 188, 2592, -377, -379, -85
1584730652.18, 707, 714, 404, 352, -15820, 196, 2556, -369, -347, -86
1584730652.25, 707, 714, 404, 352, -15808, 328, 2660, -361, -384, -83
1584730652.31, 707, 714, 404, 352, -15820, 384, 2488, -380, -377, -130
1584730652.38, 707, 714, 403, 352, -15796, 328, 2652, -369, -354, -93
1584730652.41, 707, 714, 404, 352, -15772, 292, 2652, -375, -348, -75
1584730652.48, 707, 714, 404, 352, -15708, 220, 2608, -355, -369, -102
1584730652.55, 707, 714, 404, 352, -15856, 360, 2600, -385, -355, -108
1584730652.61, 707, 714, 403, 352, -15808, 276, 2628, -352, -357, -87
1584730652.65, 707, 714, 403, 352, -15852, 248, 2660, -374, -354, -97
1584730652.71, 707, 714, 404, 352, -15784, 320, 2600, -359, -361, -97
1584730652.78, 707, 714, 404, 352, -15836, 204, 2580, -393, -371, -103
1584730652.85, 707, 714, 404, 352, -15792, 220, 2568, -346, -362, -84
1584730652.88, 707, 714, 403, 352, -15848, 280, 2520, -354, -344, -66
1584730652.95, 707, 714, 404, 352, -15880, 348, 2564, -373, -374, -67
1584730653.01, 707, 714, 403, 352, -15744, 320, 2488, -365, -406, -92
1584730653.08, 707, 714, 403, 352, -15840, 336, 2568, -371, -388, -98
1584730653.12, 707, 714, 403, 352, -15800, 308, 2640, -377, -349, -85
1584730653.18, 707, 714, 404, 352, -15908, 224, 2596, -379, -401, -97
1584730653.25, 707, 714, 403, 352, -15776, 308, 2496, -383, -384, -104
1584730653.31, 707, 714, 404, 352, -15788, 368, 2480, -381, -362, -94
1584730653.35, 707, 714, 404, 352, -15836, 316, 2524, -361, -341, -84
1584730653.41, 707, 714, 404, 352, -15784, 288, 2456, -353, -348, -97
1584730653.48, 707, 714, 404, 352, -15872, 272, 2544, -369, -369, -92
1584730653.55, 707, 714, 404, 352, -15792, 276, 2688, -366, -368, -90
1584730653.58, 707, 714, 403, 352, -15828, 312, 2544, -390, -362, -115
1584730653.65, 707, 714, 404, 352, -15748, 244, 2648, -353, -359, -94
1584730653.71, 707, 714, 404, 352, -15716, 228, 2556, -363, -344, -74
1584730653.78, 707, 714, 404, 352, -15792, 232, 2444, -379, -358, -96
1584730653.81, 707, 714, 404, 352, -15744, 220, 2568, -368, -376, -94
1584730653.88, 707, 714, 404, 352, -15848, 292, 2576, -383, -359, -106
1584730653.95, 707, 714, 404, 352, -15740, 284, 2612, -372, -387, -75
1584730654.01, 707, 714, 404, 352, -15752, 292, 2560, -370, -375, -71
1584730654.05, 707, 714, 404, 352, -15828, 224, 2560, -373, -364, -79
1584730654.11, 707, 714, 404, 352, -15852, 308, 2568, -380, -358, -94
1584730654.18, 707, 714, 403, 352, -15828, 244, 2616, -368, -369, -90
1584730654.25, 707, 714, 403, 352, -15868, 392, 2528, -367, -371, -67
1584730654.28, 707, 714, 404, 352, -15828, 288, 2524, -380, -371, -87
1584730654.35, 707, 714, 404, 352, -15872, 372, 2660, -377, -372, -105
1584730654.41, 707, 714, 404, 352, -15752, 264, 2640, -393, -365, -89
1584730654.48, 707, 714, 404, 352, -15756, 220, 2648, -380, -380, -62
1584730654.51, 707, 714, 404, 352, -15880, 248, 2524, -367, -364, -79
1584730654.58, 707, 714, 404, 352, -15804, 416, 2520, -355, -351, -92
1584730654.65, 707, 714, 403, 352, -15840, 232, 2496, -359, -368, -90
1584730654.71, 707, 714, 404, 352, -15792, 260, 2716, -357, -361, -92
1584730654.75, 707, 714, 404, 352, -15808, 160, 2580, -374, -376, -91
1584730654.81, 707, 714, 403, 352, -15860, 276, 2512, -363, -375, -83
1584730654.88, 707, 714, 403, 352, -15868, 244, 2552, -365, -389, -93
1584730654.95, 707, 714, 404, 352, -15840, 280, 2608, -376, -397, -102
1584730655.01, 707, 714, 403, 352, -15716, 392, 2508, -380, -375, -86
1584730655.05, 707, 714, 404, 352, -15760, 260, 2504, -369, -356, -75
1584730655.11, 707, 714, 404, 352, -15760, 204, 2444, -371, -358, -76
1584730655.18, 707, 714, 404, 352, -15812, 316, 2512, -359, -386, -70
1584730655.25, 707, 714, 403, 352, -15796, 384, 2680, -365, -357, -90
1584730655.28, 707, 714, 404, 352, -15748, 256, 2516, -380, -377, -72
1584730655.35, 707, 714, 404, 352, -15872, 236, 2572, -371, -383, -73
1584730655.41, 707, 714, 404, 352, -15784, 236, 2536, -360, -343, -73
1584730655.48, 708, 714, 404, 352, -15820, 280, 2692, -394, -378, -90
1584730655.51, 707, 714, 404, 352, -15800, 396, 2708, -378, -358, -89
1584730655.58, 707, 714, 403, 352, -15792, 292, 2480, -362, -385, -113
1584730655.65, 707, 714, 403, 352, -15920, 256, 2484, -355, -381, -99
1584730655.71, 707, 714, 404, 352, -15768, 280, 2496, -367, -382, -105
1584730655.75, 707, 714, 403, 352, -15836, 332, 2492, -369, -363, -87
1584730655.81, 707, 714, 404, 352, -15768, 276, 2464, -361, -361, -95
1584730655.88, 707, 714, 403, 352, -15820, 280, 2596, -384, -376, -70
1584730655.95, 707, 714, 403, 352, -15848, 252, 2668, -379, -384, -75
1584730655.98, 707, 714, 404, 352, -15876, 256, 2560, -356, -359, -85
1584730656.05, 707, 714, 404, 352, -15884, 268, 2552, -382, -372, -76
1584730656.11, 707, 714, 403, 352, -15784, 372, 2464, -369, -363, -59
1584730656.18, 707, 714, 403, 352, -15748, 276, 2612, -390, -397, -78
1584730656.21, 707, 714, 403, 352, -15808, 200, 2544, -375, -353, -97
1584730656.28, 707, 714, 404, 352, -15708, 260, 2452, -378, -352, -97
1584730656.35, 707, 714, 404, 352, -15812, 220, 2536, -361, -357, -99
1584730656.41, 707, 714, 404, 352, -15816, 180, 2604, -392, -353, -78
1584730656.45, 707, 714, 404, 352, -15848, 256, 2640, -374, -371, -74
1584730656.51, 707, 714, 404, 352, -15960, 300, 2576, -355, -385, -98
1584730656.58, 707, 714, 404, 352, -15884, 224, 2588, -361, -376, -106
1584730656.64, 707, 714, 403, 352, -15812, 320, 2560, -374, -350, -94
1584730656.68, 707, 714, 404, 352, -15772, 340, 2580, -381, -377, -78
1584730656.75, 707, 714, 403, 352, -15856, 292, 2624, -363, -366, -88
1584730656.81, 707, 714, 403, 352, -15868, 264, 2652, -354, -363, -85
1584730656.88, 707, 714, 404, 352, -15808, 184, 2524, -354, -381, -95
1584730656.91, 707, 714, 403, 352, -15828, 228, 2508, -383, -376, -85
1584730656.98, 707, 714, 404, 352, -15880, 244, 2508, -393, -382, -76
1584730657.05, 707, 714, 404, 352, -15840, 268, 2540, -376, -383, -98
1584730657.11, 707, 714, 403, 352, -15796, 300, 2520, -361, -364, -96
1584730657.15, 707, 714, 403, 352, -15860, 284, 2424, -377, -372, -93
1584730657.21, 707, 714, 404, 352, -15796, 236, 2472, -376, -359, -101
1584730657.28, 707, 714, 404, 352, -15740, 268, 2504, -351, -389, -86
1584730657.34, 707, 714, 404, 352, -15848, 284, 2636, -391, -366, -84
1584730657.38, 707, 714, 404, 352, -15896, 276, 2504, -369, -385, -85
1584730657.45, 707, 714, 404, 352, -15808, 228, 2608, -375, -362, -95
1584730657.51, 707, 714, 403, 352, -15848, 336, 2596, -386, -367, -93
1584730657.58, 707, 714, 404, 352, -15812, 332, 2480, -361, -349, -67
1584730657.61, 707, 714, 403, 352, -15844, 296, 2576, -373, -366, -106
1584730657.68, 707, 714, 404, 352, -15924, 264, 2748, -366, -339, -69
1584730657.75, 707, 714, 404, 352, -15804, 292, 2688, -387, -345, -68
1584730657.81, 707, 714, 404, 352, -15792, 280, 2656, -361, -358, -93
1584730657.85, 707, 714, 403, 352, -15824, 292, 2608, -377, -376, -68
1584730657.91, 707, 714, 404, 352, -15696, 340, 2592, -398, -383, -99
1584730657.98, 707, 714, 404, 352, -15744, 280, 2468, -392, -366, -71
1584730658.05, 707, 714, 404, 352, -15872, 352, 2628, -386, -353, -80
1584730658.08, 708, 714, 404, 352, -15820, 384, 2544, -342, -348, -97
1584730658.15, 707, 714, 404, 352, -15828, 184, 2532, -359, -366, -87
1584730658.21, 707, 714, 403, 352, -15808, 296, 2520, -385, -361, -87
1584730658.28, 707, 714, 404, 352, -15860, 288, 2608, -383, -382, -87
1584730658.31, 707, 714, 403, 352, -15800, 184, 2672, -372, -384, -59
1584730658.38, 707, 714, 403, 352, -15720, 296, 2600, -360, -390, -83
1584730658.44, 707, 714, 404, 352, -15752, 344, 2744, -361, -377, -108
1584730658.51, 707, 714, 403, 352, -15860, 316, 2552, -394, -374, -106
1584730658.55, 707, 714, 403, 352, -15804, 260, 2504, -396, -369, -72
1584730658.61, 707, 714, 403, 352, -15776, 320, 2672, -370, -384, -66
1584730658.68, 707, 714, 404, 352, -15772, 284, 2616, -379, -350, -101
1584730658.74, 707, 714, 404, 352, -16048, 212, 2560, -360, -379, -90
1584730658.81, 707, 714, 404, 352, -15748, 208, 2512, -379, -374, -103
1584730658.85, 707, 714, 404, 352, -15752, 248, 2712, -380, -364, -69
1584730658.91, 707, 714, 403, 352, -15796, 372, 2652, -379, -348, -84
1584730658.98, 707, 714, 404, 352, -15820, 364, 2448, -369, -396, -82
1584730659.04, 707, 714, 403, 352, -15708, 220, 2636, -360, -377, -90
1584730659.08, 707, 714, 404, 352, -15856, 300, 2604, -371, -400, -90
1584730659.15, 707, 714, 403, 352, -15808, 332, 2500, -384, -365, -121
1584730659.21, 707, 714, 403, 352, -15756, 208, 2628, -359, -373, -101
1584730659.28, 707, 714, 403, 352, -15732, 228, 2576, -381, -377, -104
1584730659.31, 707, 714, 404, 352, -15808, 292, 2520, -347, -394, -87
1584730659.38, 707, 714, 403, 352, -15772, 308, 2508, -386, -382, -64
1584730659.44, 707, 714, 403, 352, -15820, 328, 2580, -375, -375, -95
1584730659.51, 707, 714, 404, 352, -15816, 176, 2584, -386, -361, -114
1584730659.55, 707, 714, 404, 352, -15840, 320, 2716, -376, -373, -104
1584730659.61, 707, 714, 404, 352, -15792, 340, 2528, -354, -379, -92
1584730659.68, 707, 714, 403, 352, -15796, 268, 2512, -376, -352, -82
1584730659.74, 707, 714, 404, 352, -15828, 316, 2588, -366, -362, -112
1584730659.78, 707, 714, 403, 352, -15840, 272, 2536, -370, -361, -83
1584730659.84, 707, 714, 403, 352, -15764, 188, 2484, -358, -385, -69
1584730659.91, 707, 714, 404, 352, -15836, 264, 2456, -363, -358, -85
1584730659.98, 707, 714, 404, 352, -15776, 244, 2512, -375, -384, -80
1584730660.04, 707, 714, 404, 352, -15888, 172, 2568, -397, -362, -103
1584730660.08, 707, 714, 403, 352, -15768, 296, 2628, -374, -354, -84
1584730660.14, 707, 714, 404, 352, -15812, 312, 2540, -382, -357, -90
1584730660.21, 707, 714, 403, 352, -15824, 292, 2568, -361, -376, -92
1584730660.28, 707, 714, 404, 352, -15776, 188, 2644, -361, -364, -95
1584730660.31, 707, 714, 403, 352, -15856, 268, 2528, -377, -365, -88
