Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584737504.51, ´738, 699, 469, 436, -15760, -1096, 2124, -362, -366, -123
1584737504.58, 738, 699, 469, 436, -15560, -1192, 2680, -376, -351, -110
1584737504.64, 738, 699, 469, 435, -15560, -1004, 1936, -382, -316, 3
1584737504.71, 738, 699, 470, 436, -15812, -956, 2568, -378, -365, -83
1584737504.78, 738, 699, 469, 436, -15652, -1012, 2332, -381, -366, -101
1584737504.81, 738, 699, 469, 436, -16088, -1100, 2520, -396, -367, -103
1584737504.88, 738, 699, 469, 435, -15728, -1212, 2652, -399, -362, -81
1584737504.94, 738, 699, 469, 435, -15448, -820, 2240, -341, -392, -17
1584737505.01, 738, 699, 469, 436, -16024, -768, 2668, -374, -352, -88
1584737505.08, 738, 699, 469, 435, -15076, -200, 2096, -382, -372, 85
1584737505.11, 738, 699, 469, 435, -15884, -804, 2268, -376, -362, -83
1584737505.18, 738, 699, 469, 436, -15924, -908, 2200, -363, -366, -70
1584737505.24, 738, 699, 469, 436, -15908, -1060, 2560, -359, -385, -84
1584737505.31, 738, 698, 469, 436, -15640, -1088, 2516, -380, -403, -60
1584737505.38, 738, 699, 469, 436, -15744, -876, 2292, -350, -359, -102
1584737505.41, 738, 699, 469, 436, -15836, -848, 2268, -360, -359, -87
1584737505.48, 738, 699, 469, 436, -15800, -960, 2392, -361, -370, -76
1584737505.54, 738, 699, 469, 436, -15876, -1200, 2656, -367, -351, -85
1584737505.61, 738, 699, 469, 436, -15828, -1240, 3084, -388, -373, -105
1584737505.68, 738, 699, 469, 435, -15268, -1396, 2424, -368, -335, 29
1584737505.71, 738, 699, 469, 435, -14944, -208, 492, -403, -347, 94
1584737505.78, 738, 699, 469, 435, -16192, -584, 2100, -369, -346, 19
1584737505.84, 738, 699, 469, 435, -15516, -524, 2216, -401, -408, -233
