Time Stamp, A0 Val, A1 Val, A2 Val, A3 Val, Accel X, Accel Y, Accel Z, Gyro X, Gyro Y, Gyro Z
1584717567.79, ¬711, 717, 394, 351, -15648, 416, 1668, -383, -324, -118
1584717567.85, 711, 716, 394, 350, -15840, 440, 1788, -342, -323, -93
1584717567.92, 711, 716, 394, 351, -15664, 404, 1764, -355, -347, -80
1584717567.99, 711, 716, 394, 350, -15736, 360, 1872, -361, -317, -93
1584717568.02, 711, 716, 394, 351, -15764, 436, 1916, -347, -349, -101
1584717568.09, 711, 716, 394, 351, -15692, 384, 1820, -352, -314, -84
1584717568.15, 711, 716, 394, 350, -15752, 544, 1864, -343, -307, -104
1584717568.22, 711, 716, 394, 351, -15708, 500, 1808, -341, -342, -110
1584717568.25, 711, 717, 394, 350, -15864, 484, 1856, -345, -318, -92
1584717568.32, 711, 716, 394, 351, -15752, 352, 1756, -351, -303, -102
1584717568.39, 711, 716, 394, 350, -15744, 492, 1672, -359, -306, -73
1584717568.45, 711, 716, 394, 350, -15720, 456, 1964, -360, -336, -85
1584717568.49, 711, 716, 394, 351, -15748, 416, 1748, -339, -308, -86
1584717568.55, 711, 717, 394, 351, -15664, 488, 1788, -352, -291, -84
1584717568.62, 711, 717, 394, 350, -15760, 448, 1804, -355, -310, -106
1584717568.69, 711, 717, 394, 351, -15828, 440, 1852, -331, -302, -100
1584717568.72, 711, 716, 394, 350, -15748, 408, 1808, -357, -309, -94
1584717568.79, 711, 716, 394, 351, -15772, 544, 1980, -336, -299, -85
1584717568.85, 711, 716, 394, 351, -15760, 404, 1720, -339, -330, -109
1584717568.92, 711, 716, 394, 351, -15732, 416, 1780, -349, -308, -94
1584717568.95, 711, 716, 393, 350, -15804, 380, 1876, -349, -309, -90
1584717569.02, 711, 716, 394, 351, -15728, 428, 1728, -363, -344, -73
1584717569.09, 711, 716, 394, 350, -15752, 388, 1924, -344, -330, -127
1584717569.15, 711, 716, 394, 350, -15728, 408, 1936, -339, -342, -91
1584717569.22, 711, 716, 394, 351, -15684, 444, 1780, -353, -295, -93
1584717569.25, 711, 716, 394, 351, -15812, 420, 1764, -368, -315, -97
1584717569.32, 711, 716, 394, 351, -15812, 524, 1844, -368, -332, -79
1584717569.39, 711, 716, 394, 351, -15768, 452, 1756, -356, -319, -108
1584717569.45, 711, 716, 394, 350, -15796, 416, 1768, -359, -345, -104
1584717569.49, 711, 716, 394, 350, -15804, 416, 1796, -349, -319, -111
1584717569.55, 711, 716, 394, 351, -15684, 476, 1976, -346, -316, -90
1584717569.62, 711, 717, 394, 351, -15740, 400, 1808, -373, -320, -101
1584717569.68, 711, 716, 394, 351, -15700, 336, 1836, -347, -310, -93
1584717569.72, 711, 716, 394, 351, -15720, 400, 1836, -331, -316, -85
1584717569.79, 711, 716, 394, 350, -15768, 380, 1976, -370, -319, -80
1584717569.85, 711, 717, 394, 351, -15684, 316, 1980, -333, -356, -99
1584717569.92, 711, 716, 394, 351, -15888, 312, 1672, -348, -320, -98
1584717569.95, 711, 716, 394, 351, -15784, 336, 1820, -361, -307, -97
1584717570.02, 711, 716, 394, 351, -15800, 496, 1836, -347, -334, -89
1584717570.09, 711, 716, 394, 351, -15720, 448, 1764, -327, -311, -97
1584717570.15, 711, 716, 394, 351, -15768, 504, 1828, -334, -307, -79
1584717570.19, 711, 717, 394, 351, -15712, 392, 1808, -351, -330, -110
1584717570.25, 711, 716, 394, 351, -15824, 420, 1808, -360, -323, -89
1584717570.32, 711, 716, 394, 351, -15828, 388, 1848, -349, -356, -112
1584717570.39, 711, 716, 394, 351, -15836, 420, 1780, -361, -330, -84
1584717570.42, 711, 716, 394, 351, -15900, 480, 1876, -358, -341, -94
1584717570.49, 711, 716, 394, 350, -15820, 400, 1776, -365, -321, -67
1584717570.55, 711, 716, 394, 351, -15768, 388, 1892, -338, -324, -97
1584717570.62, 711, 716, 394, 350, -15740, 368, 1940, -333, -330, -96
1584717570.65, 711, 716, 394, 351, -15780, 424, 1936, -361, -326, -103
1584717570.72, 711, 716, 394, 350, -15752, 472, 1984, -367, -331, -77
1584717570.78, 711, 716, 394, 351, -15716, 436, 1904, -352, -323, -101
1584717570.85, 711, 716, 394, 350, -15764, 448, 1900, -351, -319, -83
1584717570.92, 711, 716, 394, 351, -15884, 484, 1648, -352, -315, -113
1584717570.95, 711, 716, 394, 350, -15820, 500, 1844, -342, -337, -83
1584717571.02, 711, 716, 394, 351, -15800, 416, 1804, -369, -308, -74
1584717571.08, 711, 716, 394, 350, -15836, 356, 1816, -364, -287, -69
1584717571.15, 711, 716, 394, 351, -15688, 424, 1780, -340, -298, -83
1584717571.19, 711, 716, 394, 351, -15732, 380, 1696, -378, -312, -110
1584717571.25, 711, 716, 394, 351, -15740, 380, 1988, -372, -329, -84
1584717571.32, 711, 716, 394, 351, -15692, 444, 1904, -357, -310, -88
1584717571.38, 711, 716, 394, 351, -15680, 400, 1920, -338, -307, -106
1584717571.42, 711, 716, 394, 351, -15788, 336, 1796, -341, -330, -92
1584717571.49, 711, 716, 394, 350, -15744, 448, 1908, -338, -326, -76
1584717571.55, 711, 716, 394, 351, -15820, 388, 1828, -350, -343, -101
1584717571.62, 711, 717, 394, 350, -15696, 380, 1916, -346, -299, -104
1584717571.65, 711, 716, 394, 351, -15768, 320, 1844, -344, -328, -137
1584717571.72, 711, 716, 394, 350, -15804, 344, 1888, -344, -316, -60
1584717571.78, 711, 716, 394, 351, -15708, 424, 1876, -347, -324, -93
1584717571.85, 711, 716, 394, 351, -15732, 356, 1812, -340, -290, -95
1584717571.89, 711, 716, 394, 351, -15808, 384, 1780, -371, -336, -79
1584717571.95, 711, 716, 394, 350, -15760, 452, 1740, -364, -329, -90
1584717572.02, 711, 717, 394, 351, -15788, 420, 1960, -361, -314, -97
1584717572.08, 711, 717, 394, 351, -15816, 480, 1828, -348, -320, -89
1584717572.12, 711, 716, 394, 351, -15744, 356, 1932, -366, -339, -60
1584717572.19, 711, 716, 394, 351, -15812, 428, 1832, -362, -361, -79
1584717572.25, 711, 716, 394, 351, -15776, 384, 1892, -362, -302, -122
1584717572.32, 711, 716, 394, 350, -15748, 376, 1796, -343, -321, -125
1584717572.38, 711, 716, 394, 351, -15760, 536, 1832, -343, -344, -117
1584717572.42, 711, 716, 394, 350, -15700, 460, 1684, -343, -313, -85
1584717572.48, 711, 716, 394, 350, -15776, 416, 1856, -338, -329, -83
1584717572.55, 711, 716, 394, 351, -15724, 348, 1912, -366, -323, -92
1584717572.62, 711, 716, 394, 351, -15792, 404, 1876, -367, -337, -100
1584717572.65, 711, 716, 394, 351, -15716, 304, 1764, -327, -291, -82
1584717572.72, 711, 716, 394, 351, -15640, 392, 1756, -334, -334, -98
1584717572.78, 711, 716, 394, 350, -15744, 408, 1820, -355, -377, -82
1584717572.85, 711, 716, 394, 350, -15796, 364, 1872, -362, -301, -86
1584717572.89, 711, 716, 394, 350, -15748, 376, 1920, -353, -312, -86
1584717572.95, 711, 716, 394, 351, -15672, 356, 1672, -369, -312, -78
1584717573.02, 711, 716, 394, 351, -15716, 428, 1732, -346, -319, -99
1584717573.08, 711, 716, 394, 351, -15732, 336, 1800, -348, -313, -109
1584717573.12, 711, 716, 394, 351, -15692, 352, 1704, -342, -303, -107
1584717573.19, 711, 716, 394, 351, -15808, 472, 1904, -350, -325, -83
1584717573.25, 711, 717, 394, 350, -15732, 388, 1808, -348, -319, -93
1584717573.32, 711, 716, 394, 351, -15820, 380, 1904, -369, -330, -98
1584717573.35, 711, 716, 394, 350, -15724, 440, 1908, -360, -353, -94
1584717573.42, 711, 716, 394, 351, -15820, 436, 1936, -344, -333, -80
1584717573.48, 711, 716, 394, 351, -15800, 452, 1920, -349, -323, -86
1584717573.55, 711, 716, 394, 351, -15756, 372, 1744, -357, -302, -98
1584717573.58, 711, 716, 394, 350, -15756, 404, 1776, -362, -338, -88
1584717573.65, 711, 716, 394, 350, -15664, 432, 1836, -332, -360, -65
1584717573.72, 711, 716, 394, 350, -15788, 416, 1708, -342, -310, -99
1584717573.78, 711, 716, 394, 351, -15796, 412, 1880, -355, -296, -115
1584717573.82, 711, 716, 394, 351, -15748, 392, 1852, -353, -331, -76
1584717573.88, 711, 716, 394, 351, -15804, 392, 1900, -365, -322, -106
1584717573.95, 711, 716, 394, 350, -15756, 440, 1764, -355, -304, -87
1584717574.02, 711, 716, 394, 351, -15868, 364, 1852, -353, -340, -77
1584717574.05, 711, 716, 394, 351, -15700, 352, 1876, -350, -312, -103
1584717574.12, 711, 716, 394, 351, -15752, 416, 1792, -336, -332, -118
1584717574.18, 711, 716, 394, 350, -15848, 388, 1808, -359, -299, -98
1584717574.25, 711, 716, 394, 351, -15776, 396, 1836, -320, -337, -85
1584717574.32, 711, 716, 394, 350, -15700, 424, 1752, -343, -311, -73
1584717574.35, 711, 716, 394, 350, -15808, 452, 1668, -329, -351, -80
1584717574.42, 711, 716, 394, 350, -15804, 452, 1824, -367, -313, -97
1584717574.48, 711, 716, 394, 351, -15788, 492, 1764, -342, -345, -110
1584717574.55, 711, 716, 394, 351, -15828, 496, 1828, -351, -284, -100
